date,ticker,price,log_return,class_1,class_2
2009-12-01,CTVA,,,0,0
2009-12-01,CVS,24.023468017578125,,0,0
2009-12-01,CVX,39.87269592285156,,0,0
2009-12-01,CZR,,,0,0
2009-12-01,D,20.40595054626465,,0,0
2009-12-01,DAL,11.298514366149902,,0,0
2009-12-01,DAY,,,0,0
2009-12-01,DD,27.102319717407227,,0,0
2009-12-01,DE,42.71518325805664,,0,0
2009-12-01,DECK,6.6777777671813965,,0,0
2009-12-01,DELL,,,0,0
2009-12-01,DFS,10.332252502441406,,0,0
2009-12-01,DG,21.310985565185547,,0,0
2009-12-01,DGX,43.24167251586914,,0,0
2009-12-01,DHI,10.502424240112305,,0,0
2009-12-01,DHR,15.02442455291748,,0,0
2009-12-01,DIS,26.572477340698242,,0,0
2009-12-01,DLR,27.952991485595703,,0,0
2009-12-01,DLTR,18.579999923706055,,0,0
2009-12-01,DOC,12.08989429473877,,0,0
2009-12-01,DOV,22.792251586914062,,0,0
2009-12-01,DOW,,,0,0
2009-12-01,DPZ,10.126879692077637,,0,0
2009-12-01,DRI,22.508920669555664,,0,0
2009-12-01,DTE,21.18971061706543,,0,0
2009-12-01,DUK,25.566884994506836,,0,0
2009-12-01,DVA,30.80500030517578,,0,0
2009-12-01,DVN,45.21526336669922,,0,0
2009-12-01,DXCM,2.259999990463257,,0,0
2009-12-01,EA,16.19782066345215,,0,0
2009-12-01,EBAY,8.754255294799805,,0,0
2009-12-01,ECL,35.355499267578125,,0,0
2009-12-01,ED,23.899097442626953,,0,0
2009-12-01,EFX,27.244108200073242,,0,0
2009-12-01,EG,62.54224395751953,,0,0
2009-12-01,EIX,19.15190315246582,,0,0
2009-12-01,EL,25.195213317871094,,0,0
2009-12-01,ELV,50.39411544799805,,0,0
2009-12-01,EMN,19.65296173095703,,0,0
2009-12-01,EMR,31.22992706298828,,0,0
2009-12-01,ENPH,,,0,0
2009-12-01,EOG,34.53669357299805,,0,0
2009-12-01,EPAM,,,0,0
2009-12-01,EQIX,72.1545639038086,,0,0
2009-12-01,EQR,18.615753173828125,,0,0
2009-12-01,EQT,20.9091739654541,,0,0
2009-12-01,ERIE,25.539016723632812,,0,0
2009-12-01,ES,15.659256935119629,,0,0
2009-12-01,ESS,53.08974838256836,,0,0
2009-12-01,ETN,23.03164291381836,,0,0
2009-12-01,ETR,14.2322359085083,,0,0
2009-12-01,EVRG,11.719544410705566,,0,0
2009-12-01,EW,7.652500152587891,,0,0
2009-12-01,EXC,17.016586303710938,,0,0
2009-12-01,EXPD,30.087846755981445,,0,0
2009-12-01,EXPE,29.29608726501465,,0,0
2009-12-01,EXR,6.70532751083374,,0,0
2009-12-01,F,6.485757350921631,,0,0
2009-12-01,FANG,,,0,0
2009-12-01,FAST,7.552126884460449,,0,0
2009-12-01,FCX,27.430294036865234,,0,0
2009-12-01,FDS,56.154781341552734,,0,0
2009-12-01,FDX,71.73027038574219,,0,0
2009-12-01,FE,19.416996002197266,,0,0
2009-12-01,FFIV,55.79999923706055,,0,0
2009-12-01,FI,12.052499771118164,,0,0
2009-12-01,FICO,22.638660430908203,,0,0
2009-12-01,FIS,17.668142318725586,,0,0
2009-12-01,FITB,7.922053813934326,,0,0
2009-12-01,FMC,19.838071823120117,,0,0
2009-12-01,FOXA,,,0,0
2009-12-01,FRT,41.50648880004883,,0,0
2009-12-01,FSLR,105.75,,0,0
2009-12-01,FTNT,1.718000054359436,,0,0
2009-12-01,FTV,,,0,0
2009-12-01,GD,51.034278869628906,,0,0
2009-12-01,GDDY,,,0,0
2009-12-01,GE,55.76531982421875,,0,0
2009-12-01,GEHC,,,0,0
2009-12-01,GEN,6.051660537719727,,0,0
2009-12-01,GEV,,,0,0
2009-12-01,GILD,17.000917434692383,,0,0
2009-12-01,GIS,21.99732208251953,,0,0
2009-12-01,GL,17.968008041381836,,0,0
2009-12-01,GLW,12.267861366271973,,0,0
2009-12-01,GM,,,0,0
2009-12-01,GNRC,,,0,0
2009-12-01,GOOGL,13.135564804077148,,0,0
2009-12-01,GPC,25.676069259643555,,0,0
2009-12-01,GPN,20.410905838012695,,0,0
2009-12-01,GRMN,19.08582878112793,,0,0
2009-12-01,GS,120.42213439941406,,0,0
2009-12-01,GWW,79.0082778930664,,0,0
2009-12-01,HAL,23.732572555541992,,0,0
2009-12-01,HAS,22.22455406188965,,0,0
2009-12-01,HBAN,2.965409517288208,,0,0
2009-12-01,HCA,,,0,0
2009-12-01,HD,21.650402069091797,,0,0
2009-12-01,HES,47.64577865600586,,0,0
2009-12-01,HIG,18.083860397338867,,0,0
2009-12-01,HII,,,0,0
2009-12-01,HLT,,,0,0
2009-12-01,HOLX,17.25,,0,0
2009-12-01,HON,27.73579978942871,,0,0
2009-12-01,HPE,,,0,0
2009-12-01,HPQ,15.344094276428223,,0,0
2009-12-01,HRL,7.517653465270996,,0,0
2009-12-01,HSIC,22.28627586364746,,0,0
2009-12-01,HST,7.395834445953369,,0,0
2009-12-01,HSY,28.075178146362305,,0,0
2009-12-01,HUBB,33.346412658691406,,0,0
2009-12-01,HUM,42.26075744628906,,0,0
2009-12-01,HWM,,,0,0
2009-12-01,IBM,72.34418487548828,,0,0
2009-12-01,ICE,18.578285217285156,,0,0
2009-12-01,IDXX,26.399999618530273,,0,0
2009-12-01,IEX,25.022441864013672,,0,0
2009-12-01,IFF,30.020736694335938,,0,0
2009-12-01,INCY,10.65999984741211,,0,0
2009-12-01,INTC,13.292805671691895,,0,0
2009-12-01,INTU,28.750499725341797,,0,0
2009-12-01,INVH,,,0,0
2009-12-01,IP,12.380539894104004,,0,0
2009-12-01,IPG,4.7929229736328125,,0,0
2009-12-01,IQV,,,0,0
2009-12-01,IR,,,0,0
2009-12-01,IRM,9.84507942199707,,0,0
2009-12-01,ISRG,38.571109771728516,,0,0
2009-12-01,IT,23.790000915527344,,0,0
2009-12-01,ITW,31.847675323486328,,0,0
2009-12-01,IVZ,11.274837493896484,,0,0
2009-12-01,J,30.122547149658203,,0,0
2009-12-01,JBHT,30.605209350585938,,0,0
2009-12-01,JBL,12.756677627563477,,0,0
2009-12-01,JCI,11.949461936950684,,0,0
2009-12-01,JKHY,18.62286949157715,,0,0
2009-12-01,JNJ,40.57371139526367,,0,0
2009-12-01,JNPR,21.67091941833496,,0,0
2009-12-01,JPM,28.523513793945312,,0,0
2009-12-01,K,29.972213745117188,,0,0
2009-12-01,KDP,3.518165111541748,,0,0
2009-12-01,KEY,4.4979658126831055,,0,0
2009-12-01,KEYS,,,0,0
2009-12-01,KHC,,,0,0
2009-12-01,KIM,6.938951015472412,,0,0
2009-12-01,KKR,,,0,0
2009-12-01,KLAC,16.61660385131836,,0,0
2009-12-01,KMB,34.40800476074219,,0,0
2009-12-01,KMI,,,0,0
2009-12-01,KMX,20.190000534057617,,0,0
2009-12-01,KO,16.590341567993164,,0,0
2009-12-01,KR,8.382378578186035,,0,0
2009-12-01,KVUE,,,0,0
2009-12-01,L,33.59645080566406,,0,0
2009-12-01,LDOS,24.785860061645508,,0,0
2009-12-01,LEN,14.395676612854004,,0,0
2009-12-01,LH,60.8322868347168,,0,0
2009-12-01,LHX,32.518062591552734,,0,0
2009-12-01,LIN,55.94805145263672,,0,0
2009-12-01,LKQ,8.961868286132812,,0,0
2009-12-01,LLY,22.723093032836914,,0,0
2009-12-01,LMT,48.73109817504883,,0,0
2009-12-01,LNT,9.385576248168945,,0,0
2009-12-01,LOW,18.055965423583984,,0,0
2009-12-01,LRCX,1.4732383489608765,,0,0
2009-12-01,LULU,14.324999809265137,,0,0
2009-12-01,LUV,11.139361381530762,,0,0
2009-12-01,LVS,10.816987991333008,,0,0
2009-12-01,LW,,,0,0
2009-12-01,LYB,,,0,0
2009-12-01,LYV,12.989999771118164,,0,0
2009-12-01,MA,20.750707626342773,,0,0
2009-12-01,MAA,29.6807861328125,,0,0
2009-12-01,MAR,21.837703704833984,,0,0
2009-12-01,MAS,9.143522262573242,,0,0
2009-12-01,MCD,42.21107482910156,,0,0
2009-12-01,MCHP,9.172637939453125,,0,0
2009-12-01,MCK,52.45273208618164,,0,0
2009-12-01,MCO,22.211406707763672,,0,0
2009-12-01,MDLZ,13.322150230407715,,0,0
2009-12-01,MDT,30.514101028442383,,0,0
2009-12-01,MET,20.684608459472656,,0,0
2009-12-01,META,,,0,0
2009-12-01,MGM,9.955141067504883,,0,0
2009-12-01,MHK,51.58000183105469,,0,0
2009-12-01,MKC,13.822125434875488,,0,0
2009-12-01,MKTX,12.839214324951172,,0,0
2009-12-01,MLM,66.8541488647461,,0,0
2009-12-01,MMC,16.976774215698242,,0,0
2009-12-01,MMM,42.49507141113281,,0,0
2009-12-01,MNST,3.4649999141693115,,0,0
2009-12-01,MO,8.086736679077148,,0,0
2009-12-01,MOH,14.25333309173584,,0,0
2009-12-01,MOS,45.644466400146484,,0,0
2009-12-01,MPC,,,0,0
2009-12-01,MPWR,17.568607330322266,,0,0
2009-12-01,MRK,21.096359252929688,,0,0
2009-12-01,MRNA,,,0,0
2009-12-01,MS,20.490123748779297,,0,0
2009-12-01,MSCI,26.847183227539062,,0,0
2009-12-01,MSFT,21.584182739257812,,0,0
2009-12-01,MSI,21.596101760864258,,0,0
2009-12-01,MTB,50.46358871459961,,0,0
2009-12-01,MTCH,6.085071563720703,,0,0
2009-12-01,MTD,99.41000366210938,,0,0
2009-12-01,MU,8.880308151245117,,0,0
2009-12-01,NCLH,,,0,0
2009-12-01,NDAQ,5.051003456115723,,0,0
2009-12-01,NDSN,28.162826538085938,,0,0
2009-12-01,NEE,7.49562931060791,,0,0
2009-12-01,NEM,35.333030700683594,,0,0
2009-12-01,NFLX,9.435713768005371,,0,0
2009-12-01,NI,3.508124589920044,,0,0
2009-12-01,NKE,13.987466812133789,,0,0
2009-12-01,NOC,40.56946563720703,,0,0
2009-12-01,NOW,,,0,0
2009-12-01,NRG,16.579477310180664,,0,0
2009-12-01,NSC,36.364479064941406,,0,0
2009-12-01,NTAP,22.702295303344727,,0,0
2009-12-01,NTRS,36.20719528198242,,0,0
2009-12-01,NUE,27.286516189575195,,0,0
2009-12-01,NVDA,0.3714195489883423,,0,0
2009-12-01,NVR,708.2999877929688,,0,0
2009-12-01,NWSA,,,0,0
2009-12-01,NXPI,,,0,0
2009-12-01,O,13.3662109375,,0,0
2009-12-01,ODFL,4.409848213195801,,0,0
2009-12-01,OKE,8.77590274810791,,0,0
2009-12-01,OMC,23.48394012451172,,0,0
2009-12-01,ON,7.960000038146973,,0,0
2009-12-01,ORCL,20.106435775756836,,0,0
2009-12-01,ORLY,39.29999923706055,,0,0
2009-12-01,OTIS,,,0,0
2009-12-01,OXY,49.54528045654297,,0,0
2009-12-01,PANW,,,0,0
2009-12-01,PARA,9.954116821289062,,0,0
2009-12-01,PAYC,,,0,0
2009-12-01,PAYX,18.168611526489258,,0,0
2009-12-01,PCAR,14.322124481201172,,0,0
2009-12-01,PCG,30.7747745513916,,0,0
2009-12-01,PEG,16.662921905517578,,0,0
2009-12-01,PEP,39.98887252807617,,0,0
2009-12-01,PFE,9.300516128540039,,0,0
2009-12-01,PFG,14.189201354980469,,0,0
2009-12-01,PG,40.825538635253906,,0,0
2009-12-01,PGR,10.723957061767578,,0,0
2009-12-01,PH,46.457115173339844,,0,0
2009-12-01,PHM,9.315299034118652,,0,0
2009-12-01,PKG,15.262640953063965,,0,0
2009-12-01,PLD,15.147165298461914,,0,0
2009-12-01,PLTR,,,0,0
2009-12-01,PM,23.96769905090332,,0,0
2009-12-01,PNC,35.73617172241211,,0,0
2009-12-01,PNR,16.600744247436523,,0,0
2009-12-01,PNW,19.674766540527344,,0,0
2009-12-01,PODD,14.699999809265137,,0,0
2009-12-01,POOL,16.371477127075195,,0,0
2009-12-01,PPG,23.4300594329834,,0,0
2009-12-01,PPL,12.965258598327637,,0,0
2009-12-01,PRU,29.98617935180664,,0,0
2009-12-01,PSA,47.204341888427734,,0,0
2009-12-01,PSX,,,0,0
2009-12-01,PTC,17.40999984741211,,0,0
2009-12-01,PWR,18.664199829101562,,0,0
2009-12-01,PYPL,,,0,0
2009-12-01,QCOM,25.05898094177246,,0,0
2009-12-01,QRVO,,,0,0
2009-12-01,RCL,23.700103759765625,,0,0
2009-12-01,REG,19.434965133666992,,0,0
2009-12-01,REGN,24.459999084472656,,0,0
2009-12-01,RF,4.577644348144531,,0,0
2009-12-01,RJF,13.806876182556152,,0,0
2009-12-01,RL,62.5774040222168,,0,0
2009-12-01,RMD,23.928524017333984,,0,0
2009-12-01,ROK,39.64339065551758,,0,0
2009-12-01,ROL,3.3901455402374268,,0,0
2009-12-01,ROP,50.76652145385742,,0,0
2009-12-01,ROST,10.497281074523926,,0,0
2009-12-01,RSG,20.1254940032959,,0,0
2009-12-01,RTX,30.33224868774414,,0,0
2009-12-01,RVTY,20.422033309936523,,0,0
2009-12-01,SBAC,33.48519515991211,,0,0
2009-12-01,SBUX,8.836200714111328,,0,0
2009-12-01,SCHW,15.123056411743164,,0,0
2009-12-01,SHW,17.920852661132812,,0,0
2009-12-01,SJM,40.09317398071289,,0,0
2009-12-01,SLB,43.015586853027344,,0,0
2009-12-01,SMCI,1.5010000467300415,,0,0
2009-12-01,SNA,30.375736236572266,,0,0
2009-12-01,SNPS,21.899999618530273,,0,0
2009-12-01,SO,16.30596923828125,,0,0
2009-12-01,SOLV,,,0,0
2009-12-01,SPG,38.86140823364258,,0,0
2009-12-01,SPGI,26.43198585510254,,0,0
2009-12-01,SRE,15.254644393920898,,0,0
2009-12-01,STE,25.697324752807617,,0,0
2009-12-01,STLD,11.506382942199707,,0,0
2009-12-01,STT,31.9296817779541,,0,0
2009-12-01,STX,10.59040355682373,,0,0
2009-12-01,STZ,13.202244758605957,,0,0
2009-12-01,SW,,,0,0
2009-12-01,SWK,39.84823226928711,,0,0
2009-12-01,SWKS,12.71203899383545,,0,0
2009-12-01,SYF,,,0,0
2009-12-01,SYK,43.831878662109375,,0,0
2009-12-01,SYY,18.735519409179688,,0,0
2009-12-01,T,6.188024520874023,,0,0
2009-12-01,TAP,28.06110954284668,,0,0
2009-12-01,TDG,23.04524040222168,,0,0
2009-12-01,TDY,37.66999816894531,,0,0
2009-12-01,TECH,13.731420516967773,,0,0
2009-12-01,TEL,19.025949478149414,,0,0
2009-12-01,TER,9.235671997070312,,0,0
2009-12-01,TFC,17.090377807617188,,0,0
2009-12-01,TFX,52.060054779052734,,0,0
2009-12-01,TGT,34.6294059753418,,0,0
2009-12-01,TJX,8.556829452514648,,0,0
2009-12-01,TMO,46.349449157714844,,0,0
2009-12-01,TMUS,10.031841278076172,,0,0
2009-12-01,TPL,7.804337978363037,,0,0
2009-12-01,TPR,24.0887508392334,,0,0
2009-12-01,TRGP,,,0,0
2009-12-01,TRMB,13.4350004196167,,0,0
2009-12-01,TROW,31.125194549560547,,0,0
2009-12-01,TRV,36.56844711303711,,0,0
2009-12-01,TSCO,11.377731323242188,,0,0
2009-12-01,TSLA,,,0,0
2009-12-01,TSN,13.049294471740723,,0,0
2009-12-01,TT,15.621070861816406,,0,0
2009-12-01,TTWO,9.619999885559082,,0,0
2009-12-01,TXN,16.58353042602539,,0,0
2009-12-01,TXT,19.293914794921875,,0,0
2009-12-01,TYL,18.15999984741211,,0,0
2009-12-01,UAL,17.149999618530273,,0,0
2009-12-01,UBER,,,0,0
2009-12-01,UDR,9.892207145690918,,0,0
2009-12-01,UHS,28.891223907470703,,0,0
2009-12-01,ULTA,18.127166748046875,,0,0
2009-12-01,UNH,27.06566619873047,,0,0
2009-12-01,UNP,24.446041107177734,,0,0
2009-12-01,UPS,36.66008758544922,,0,0
2009-12-01,URI,7.39153528213501,,0,0
2009-12-01,USB,15.967795372009277,,0,0
2009-12-01,V,19.179590225219727,,0,0
2009-12-01,VICI,,,0,0
2009-12-01,VLO,9.855942726135254,,0,0
2009-12-01,VLTO,,,0,0
2009-12-01,VMC,38.02968978881836,,0,0
2009-12-01,VRSK,27.231752395629883,,0,0
2009-12-01,VRSN,21.160844802856445,,0,0
2009-12-01,VRTX,40.540000915527344,,0,0
2009-12-01,VST,,,0,0
2009-12-01,VTR,25.697263717651367,,0,0
2009-12-01,VTRS,18.329877853393555,,0,0
2009-12-01,VZ,12.776779174804688,,0,0
2009-12-01,WAB,17.882007598876953,,0,0
2009-12-01,WAT,59.65999984741211,,0,0
2009-12-01,WBA,21.448627471923828,,0,0
2009-12-01,WBD,15.917220115661621,,0,0
2009-12-01,WDC,31.012088775634766,,0,0
2009-12-01,WEC,14.948766708374023,,0,0
2009-12-01,WELL,21.660858154296875,,0,0
2009-12-01,WFC,18.43119239807129,,0,0
2009-12-01,WM,22.361717224121094,,0,0
2009-12-01,WMB,8.169422149658203,,0,0
2009-12-01,WMT,12.980366706848145,,0,0
2009-12-01,WRB,5.612323760986328,,0,0
2009-12-01,WST,17.379358291625977,,0,0
2009-12-01,WTW,57.88664245605469,,0,0
2009-12-01,WY,8.862679481506348,,0,0
2009-12-01,WYNN,41.04389572143555,,0,0
2009-12-01,XEL,12.375585556030273,,0,0
2009-12-01,XOM,37.21855163574219,,0,0
2009-12-01,XYL,,,0,0
2009-12-01,YUM,18.14122200012207,,0,0
2009-12-01,ZBH,50.007633209228516,,0,0
2009-12-01,ZBRA,28.56999969482422,,0,0
2009-12-01,ZTS,,,0,0
2009-12-01,^GSPC,1104.489990234375,,0,0
2010-03-01,A,20.732139587402344,0.02820592154420677,1,1
2010-03-01,AAPL,7.738943099975586,0.22745457835459498,1,1
2010-03-01,ABBV,,,0,0
2010-03-01,ABNB,,,0,0
2010-03-01,ABT,16.506053924560547,-0.1248873239345647,0,0
